archivo_original,especie_esperada,ave_detectada_comun,ave_detectada_cientifico,inicio_segundo,fin_segundo,confianza_birdnet,especie_target
742378.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,6.0,9.0,0.2089531421661377,Turdus ignobilis
742378.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,9.0,12.0,0.3914664685726166,Turdus ignobilis
742378.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,15.0,18.0,0.35166409611701965,Turdus ignobilis
742378.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,18.0,21.0,0.38646572828292847,Turdus ignobilis
742378.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,24.0,27.0,0.24704015254974365,Turdus ignobilis
742377.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,0.0,3.0,0.32807114720344543,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,0.0,3.0,0.8911721706390381,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,3.0,6.0,0.9943566918373108,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,6.0,9.0,0.9537468552589417,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,9.0,12.0,0.9882258176803589,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,12.0,15.0,0.940266489982605,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,15.0,18.0,0.2445850521326065,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,18.0,21.0,0.9766086339950562,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,21.0,24.0,0.9896488189697266,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,24.0,27.0,0.9013172388076782,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,27.0,30.0,0.9722871780395508,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,30.0,33.0,0.9117284417152405,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,33.0,36.0,0.9579759240150452,Turdus ignobilis
614016.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,36.0,39.0,0.9777010083198547,Turdus ignobilis
576274.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,3.0,6.0,0.21364890038967133,Turdus ignobilis
576274.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,12.0,15.0,0.9113835096359253,Turdus ignobilis
576274.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,18.0,21.0,0.23206311464309692,Turdus ignobilis
576274.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,30.0,33.0,0.1818540245294571,Turdus ignobilis
576274.mp3,Turdus ignobilis,Black-billed Thrush,Turdus ignobilis,33.0,36.0,0.1561345010995865,Turdus ignobilis
